項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,,
檢驗項目,自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),氟鹽(Fluoride),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),砷(Arsenic),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),水質合格否(Y/N),
飲用水水質標準,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,10.0,500,0.8,300,0.3,0.05,100,6,0.08,0.05,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,－－,
單位,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
新山淨水場(Sinshan),0.77,0.45,<5,<1,35.7,7.2,17.6,19.9,ND,ND,1.08,117,0.04,45.3,0.09,0.005,<1,<1,0.0217,0.00568,ND,0.0002,ND,0.00195,ND,0.00092,0.00115,ND,ND,0.0191,0.00004,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
貢寮淨水場(Gongliau),0.80,0.30,<5,<1,28.3,7.2,13.9,10.2,ND,ND,0.36,96.8,0.03,29.5,0.04,ND,<1,<1,0.0209,0.00282,ND,0.0002,ND,0.00163,ND,0.00049,0.00208,ND,ND,0.0353,0.00007,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
板新淨水場(Bansin),0.72,0.30,<5,<1,52.5,7.2,9.5,28.9,0.02,ND,0.59,133,0.07,83.0,0.04,ND,<1,<1,0.0148,ND,0.00108,0.0002,ND,0.00192,ND,0.00176,ND,0.00065,ND,0.0130,0.00019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
平鎮淨水場(Pingjen),0.64,0.60,<5,<1,56.8,7.6,3.4,36.1,0.02,ND,0.37,137,0.09,92.3,0.04,ND,1,<1,0.00529,0.00040,ND,0.0004,ND,0.00086,ND,0.00078,0.00039,0.00043,ND,0.00887,0.00013,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
大湳淨水場(Danan),0.67,0.50,<5,<1,57.6,7.3,6.1,36.1,0.02,ND,0.50,140,0.10,94.4,0.04,ND,1,<1,0.0233,0.00032,ND,0.0005,ND,0.00112,ND,0.00058,ND,0.00061,0.00001,0.0139,0.00020,ND,ND,ND,ND,ND,ND,0.0003,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
石門淨水場(Shihmen),0.63,0.50,<5,<1,56.3,7.5,4.3,34.5,ND,ND,0.38,138,0.09,89.5,0.06,ND,2,<1,0.00913,0.00024,ND,0.0003,ND,0.00189,ND,0.00160,ND,0.00087,ND,0.0100,0.00014,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
龍潭淨水場(Longtan),0.65,1.0,<5,<1,50.7,7.5,4.6,35.1,0.02,ND,0.97,136,0.06,80.6,0.05,ND,3,<1,0.00699,0.00048,ND,0.0003,ND,0.00224,ND,0.00205,ND,0.00042,0.00001,0.0116,0.00013,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
新竹第一淨水場(Hsinchu First),0.70,0.25,<5,<1,93.6,7.6,10.1,44.9,0.02,<0.01,0.96,202,0.13,126,0.05,0.012,<1,<1,0.0105,ND,ND,0.0004,ND,0.00557,ND,0.00713,ND,ND,ND,0.0187,0.00022,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
新竹第二淨水場(Hsinchu Second),0.77,0.30,<5,<1,91.4,7.8,11.6,44.8,0.03,ND,0.71,197,0.13,120,0.03,0.010,<1,<1,0.0116,ND,ND,0.0005,ND,0.0101,ND,0.00743,ND,0.00077,ND,0.0179,0.00022,0.08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
寶山淨水場(Baoshan),0.71,0.20,<5,<1,85.6,7.7,3.9,55.9,ND,ND,0.46,178,0.12,132,0.02,0.013,<1,<1,0.0154,ND,ND,0.0005,ND,ND,ND,0.00471,ND,ND,0.00043,0.0162,0.00050,0.04,ND,ND,ND,0.0004,ND,0.0005,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
湳雅淨水場(Nanya),0.76,0.65,<5,<1,97.2,7.6,12.6,46.6,0.03,<0.01,0.92,215,0.13,123,0.05,ND,<1,<1,0.00736,ND,ND,0.0003,ND,0.00176,ND,0.00954,ND,ND,ND,0.0205,0.00026,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
員崠淨水場(Yuntong),0.57,0.30,<5,<1,97.8,8.2,2.3,61.7,0.04,ND,0.43,215,0.13,140,ND,0.010,10,<1,0.00204,ND,ND,0.0004,ND,0.00279,ND,0.0139,ND,ND,0.00043,0.0157,0.00017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
東興淨水場(Donsin),0.69,0.45,<5,<1,80.8,7.8,5.3,27.7,0.02,<0.01,0.37,148,0.10,92.0,0.04,0.010,1,<1,0.0115,ND,0.00108,0.0006,ND,0.00319,ND,0.00621,ND,ND,ND,0.0172,0.00015,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
明德淨水場(Minde),0.69,0.30,<5,<1,100,7.7,9.4,20.1,ND,<0.01,0.43,144,0.12,99.5,0.02,0.010,2,<1,0.0296,ND,ND,0.0008,ND,0.00197,0.00207,0.0105,ND,ND,ND,0.00953,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
豐原淨水場(Fongyuan),0.67,0.35,<5,<1,85.7,7.7,4.0,35.8,ND,ND,0.65,164,0.10,108,0.03,ND,12,<1,0.00522,ND,0.00229,0.0007,ND,0.00166,ND,0.00323,0.00131,0.00090,ND,0.00540,0.00031,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
鯉魚潭淨水場(Liyutan),0.70,0.40,<5,<1,97.2,7.4,2.9,76.4,ND,ND,0.32,216,0.11,158,ND,ND,<1,<1,0.00626,0.00186,0.00194,0.0011,ND,0.00598,ND,0.00369,0.00156,0.00099,ND,0.00723,0.00048,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
霧峰淨水場(Wufong),0.55,0.30,<5,<1,142,6.9,9.3,62.9,ND,ND,2.15,324,0.13,167,ND,ND,1,<1,0.00033,0.00194,0.00106,0.0003,ND,0.121,ND,0.0120,ND,ND,ND,0.00903,ND,ND,ND,ND,ND,－－,－－,－－,ND,ND,－－,ND,ND,ND,ND,ND,－－,Y,
大安淨水場(Daan),0.50,0.25,<5,<1,117,7.2,6.7,55.8,ND,ND,1.77,238,0.09,163,0.02,ND,9,<1,ND,0.00268,ND,0.0006,ND,0.00703,ND,0.00297,ND,0.00084,ND,0.00988,0.00020,ND,ND,ND,－－,－－,－－,－－,－－,－－,－－,ND,ND,ND,ND,ND,－－,Y,
彰化第三淨水場(Changhua Third),0.50,0.25,<5,<1,200,7.6,43.4,111,ND,ND,0.10,466,0.13,282,ND,ND,<1,<1,0.00676,－－,－－,－－,－－,－－,－－,－－,－－,－－,－－,－－,－－,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
員林第二淨水場(Yuanlin Second),0.54,0.30,<5,<1,168,7.9,7.6,6.5,ND,ND,0.05,192,0.19,143,0.03,ND,<1,<1,0.00164,0.0106,0.00275,0.0029,ND,0.0388,ND,0.00623,0.00816,0.00209,0.00033,0.00904,0.00264,ND,ND,ND,ND,－－,－－,－－,ND,ND,－－,ND,ND,ND,ND,ND,－－,Y,
埤仔頭淨水場(Pizitou),0.40,0.55,<5,<1,122,6.9,10.0,89.8,ND,ND,5.13,321,0.11,207,0.07,ND,<1,<1,0.00482,0.00200,0.00027,0.0011,ND,0.00448,0.00002,0.00112,ND,0.00191,0.00003,0.0109,0.00036,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
林內淨水場(Linnei),0.45,0.20,<5,<1,135,7.9,6.4,110,ND,ND,0.77,331,0.10,224,0.04,ND,1,<1,0.00600,0.00024,0.00030,0.0009,ND,0.00215,0.00002,0.00103,0.00040,0.00173,0.00002,0.0107,0.00032,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
蘭潭淨水場(Lantan),0.69,0.25,<5,<1,132,8.1,7.7,60.1,ND,ND,0.18,235,0.12,146,0.04,ND,1,<1,0.0206,0.00030,ND,0.0017,ND,0.00232,0.00009,0.00120,ND,0.00063,ND,0.0210,0.00017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
公園淨水場(Gonyuan),0.63,0.25,<5,<1,143,8.1,9.5,68.1,ND,ND,0.22,254,0.12,157,0.06,ND,1,<1,0.0236,0.00046,ND,0.0018,ND,0.00102,0.00003,0.00156,ND,0.00063,0.00006,0.0220,0.00015,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
水上淨水場(Shueishang),0.66,0.20,<5,<1,127,8.1,7.4,52.8,ND,ND,0.23,219,0.11,141,0.04,ND,<1,<1,0.0244,0.00046,ND,0.0015,ND,0.00200,0.00003,0.00112,ND,0.00076,0.00001,0.0220,0.00017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
烏山頭淨水場(Wushantou),0.78,0.35,<5,<1,104,7.8,3.5,38.4,0.01,<0.01,0.37,180,0.17,124,ND,ND,<1,<1,0.0113,ND,ND,0.0012,ND,0.00103,ND,0.00140,0.00039,0.00077,0.00001,0.0196,0.00019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
潭頂淨水場(Tanting),0.60,0.35,<5,<1,130,7.9,9.6,46.4,ND,ND,0.44,213,0.18,139,0.03,ND,<1,<1,0.0234,0.00018,ND,0.0011,ND,0.00145,ND,0.00097,0.00038,0.00081,0.00001,0.0213,0.00019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
南化淨水場(Nanhua),0.74,0.30,<5,<1,124,7.8,4.7,49.5,ND,<0.01,0.19,211,0.19,139,0.02,ND,<1,<1,0.0182,0.00055,ND,0.0008,ND,0.00082,ND,0.00093,0.00059,0.00083,ND,0.0238,0.00012,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
澄清湖淨水場(Chengching Lake),0.57,0.15,<5,<1,102,7.6,8.5,118,0.05,ND,0.54,301,0.11,146,ND,ND,<1,<1,0.00315,0.00123,0.00035,0.0013,ND,0.00135,ND,0.00054,0.00058,0.00099,0.00002,0.0165,0.00031,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
鳳山淨水場(Fongshan),0.70,0.15,<5,<1,108,7.5,9.0,123,0.05,ND,0.83,311,0.12,143,0.02,ND,<1,<1,0.00758,0.00136,0.00030,0.0009,ND,0.00192,ND,0.00303,0.00212,0.00198,0.00002,0.0138,0.00028,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
坪頂淨水場(Pinding),0.71,0.25,<5,<1,148,7.5,14.0,104,0.04,ND,0.67,386,0.14,240,0.03,ND,<1,<1,0.0122,0.00057,0.00034,0.0014,ND,0.00186,ND,0.00091,0.00122,0.00233,0.00003,0.0334,0.00027,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
拷潭淨水場(Kaotan),0.69,0.15,<5,<1,106,7.2,10.6,64.9,0.05,ND,0.53,242,0.11,133,0.05,ND,<1,<1,0.0126,0.00068,ND,0.0011,ND,0.00516,ND,0.00254,0.00048,0.00144,0.00003,0.0290,0.00014,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
甲仙淨水場(Chiahsien),0.53,0.35,<5,<1,133,7.9,3.7,69.2,0.04,ND,0.32,249,0.12,165,ND,ND,<1,<1,0.0112,0.00082,ND,0.0006,ND,0.00466,ND,0.00381,0.00043,0.00104,0.00001,0.0347,0.00012,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
牡丹淨水場(Moodan),0.70,0.20,<5,<1,108,7.7,10.1,14.3,0.05,ND,0.22,149,0.13,112,ND,ND,<1,<1,0.0149,ND,ND,0.0005,ND,ND,0.00012,0.00125,0.00026,0.00086,ND,0.00760,0.00009,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,－－,ND,ND,ND,ND,Y,
屏東淨水場(Pingtong),0.52,0.20,<5,<1,162,7.8,4.8,50.8,0.04,ND,1.45,292,0.14,199,ND,ND,<1,<1,0.00202,0.00082,0.00053,0.0019,<0.0001,0.00326,0.00002,0.00142,0.00047,0.00209,ND,0.0141,0.00006,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
深溝淨水場(Shengou),0.48,0.25,<5,<1,45.4,7.6,3.3,15.5,ND,ND,0.43,104,0.06,50.9,0.01,ND,1,<1,0.00287,ND,ND,0.0004,ND,0.00196,0.00220,0.00047,ND,ND,ND,0.00321,0.00014,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
廣興淨水場(Kuanhsin),0.42,0.45,<5,<1,92.9,7.0,4.1,40.5,ND,ND,0.99,231,0.06,114,ND,ND,<1,<1,ND,ND,0.00381,0.0003,ND,0.00899,ND,0.00635,0.00111,ND,0.00017,0.00031,0.00012,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
蘇澳淨水場(Shuao),0.48,0.20,<5,<1,87.8,6.9,6.4,19.5,ND,ND,0.53,162,0.05,96.4,ND,ND,<1,<1,ND,ND,0.00173,0.0009,0.0007,0.00278,0.00411,0.00441,ND,ND,0.00012,0.00814,0.00017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
砂婆礑淨水場(Sapotang),0.41,0.15,<5,<1,95.4,8.2,2.3,11.6,0.02,ND,0.33,120,0.03,95.7,0.07,ND,31,<1,0.00279,0.00066,ND,0.0018,ND,0.0144,0.00003,0.00764,0.00083,0.00088,0.00002,0.0304,0.00011,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,－－,ND,ND,ND,ND,Y,
鳳林淨水場(Fonglin),0.45,0.15,<5,<1,51.2,7.9,3.3,7.5,0.03,ND,0.19,86.2,0.03,44.2,ND,ND,9,<1,0.00153,0.00023,ND,0.0008,ND,0.00086,ND,0.00058,0.00055,ND,ND,0.00213,0.00002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
玉里淨水場(Yuli),0.45,0.15,<5,<1,111,7.4,3.2,21.3,ND,ND,0.65,162,0.07,109,ND,ND,1,<1,ND,0.00025,0.00028,0.0010,ND,0.00218,ND,0.00157,ND,0.00047,ND,0.00373,0.00008,ND,－－,－－,ND,ND,ND,ND,ND,ND,ND,－－,－－,ND,ND,ND,ND,Y,
利嘉淨水場(Leichia),0.56,0.30,<5,<1,111,7.8,6.6,74.2,ND,ND,0.31,211,0.07,177,ND,ND,<1,<1,0.00263,ND,0.00111,0.0007,ND,0.00273,ND,0.00064,0.00121,0.00075,ND,0.00387,0.00028,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
成功淨水場(Chengkung),0.71,0.55,<5,<1,88.9,8.0,18.7,13.3,ND,ND,0.12,138,0.11,65.2,0.03,ND,<1,<1,0.0222,0.00232,0.00149,0.0012,ND,0.00476,ND,0.00077,0.00125,0.00190,0.00025,0.00424,0.00016,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
正興淨水場(Chenghsin),0.48,0.30,<5,<1,106,7.2,7.5,40.4,ND,ND,2.26,195,0.11,141,ND,ND,<1,<1,ND,ND,ND,0.0004,ND,0.00542,ND,0.00664,ND,ND,ND,0.00408,0.00011,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
烏崁淨水場(Wukan),0.51,0.30,<5,<1,36.0,8.2,128,24.7,0.05,ND,0.07,277,0.08,44.8,ND,ND,2,<1,0.00087,0.00025,ND,0.0003,ND,0.00271,ND,0.00044,0.00042,0.00042,ND,0.00235,0.00003,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
集集淨水場(Jiji),0.63,0.45,<5,<1,132,8.1,1.8,79.9,ND,ND,0.43,276,0.12,193,ND,ND,1,<1,0.00245,ND,ND,0.0007,ND,0.00246,ND,0.00613,0.00116,ND,0.00021,0.00300,0.00060,ND,ND,ND,ND,0.0003,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
埔里第三淨水場(Puli Third),0.54,0.25,<5,<1,53.1,6.7,2.0,19.2,ND,ND,1.86,118,0.09,60.7,0.03,ND,<1,<1,ND,ND,ND,0.0003,ND,0.0145,ND,0.00147,ND,ND,ND,0.00328,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
